SA22021_V1_00,SA22021_V1_00_NAME,SA22021_V1_00_NAME_ASCII,LAND_AREA_SQ_KM,AREA_SQ_KM
100100,North Cape,North Cape,829.2217023,829.2217023
100200,Rangaunu Harbour,Rangaunu Harbour,273.9908076,273.9908076
100400,Karikari Peninsula,Karikari Peninsula,174.4413885,174.4413885
100500,Tangonge,Tangonge,177.1051198,177.1051198
100600,Ahipara,Ahipara,4.529441647,4.529441647
100700,Kaitaia East,Kaitaia East,5.266491602,5.266491602
100800,Kaitaia West,Kaitaia West,3.211839967,3.211839967
100900,Rangitihi,Rangitihi,84.62818529,84.62818529
101000,Oruru-Parapara,Oruru-Parapara,103.3558921,103.3558921
101100,Taumarumaru,Taumarumaru,10.28260966,10.28260966
101200,Herekino-Takahue,Herekino-Takahue,303.893336,303.893336
101300,Peria,Peria,199.6239472,199.6239472
101400,Taemaro-Oruaiti,Taemaro-Oruaiti,156.8010486,156.8010486
101500,Whakapaku,Whakapaku,200.8981258,200.8981258
101600,Hokianga North,Hokianga North,347.9776557,347.9776557
101700,Kohukohu-Broadwood,Kohukohu-Broadwood,209.1809644,209.1809644
101800,Whakarara,Whakarara,169.5253234,169.5253234
101900,Kaeo,Kaeo,255.5635096,255.5635096
102000,Omahuta Forest-Horeke,Omahuta Forest-Horeke,463.7221565,463.7221565
102100,Hokianga South,Hokianga South,126.0471801,126.0471801
102200,Lake Manuwai-Kapiro,Lake Manuwai-Kapiro,59.07226834,59.07226834
102300,Ōkaihau,Okaihau,147.6755035,160.0233239
102400,Rangitane-Purerua,Rangitane-Purerua,123.1473969,123.1473969
102500,Waipapa,Waipapa,9.160162574,9.160162574
102600,Puketotara,Puketotara,55.26390522,55.26390522
102700,Waimā Forest,Waima Forest,237.0018931,237.0018931
102800,Riverview,Riverview,6.21892729,6.21892729
102900,Waipoua Forest,Waipoua Forest,277.8511468,277.8511468
103000,Kerikeri Central,Kerikeri Central,3.711781385,3.711781385
103100,Kerikeri South,Kerikeri South,15.4646666,15.4646666
103200,Ōhaeawai-Waimate North,Ohaeawai-Waimate North,87.37553215,87.37553215
103300,Puketona-Waitangi,Puketona-Waitangi,156.4030947,156.4030947
103400,Ngapuhi,Ngapuhi,175.3850352,175.3850352
103500,Kaikohe,Kaikohe,5.67503559,5.67503559
103600,Pakaraka,Pakaraka,72.38802838,72.38802838
103700,Haruru,Haruru,1.527232641,1.527232641
103800,Russell,Russell,3.279862199,3.279862199
103900,Paihia,Paihia,2.241601037,2.241601037
104000,Mataraua Forest,Mataraua Forest,272.9203236,272.9203236
104100,Matawaia-Taumarere,Matawaia-Taumarere,410.6217692,410.6217692
104200,Russell Peninsula,Russell Peninsula,26.18786721,26.18786721
104300,Opua (Far North District),Opua (Far North District),5.6075291,5.6075291
104400,Russell Forest-Rawhiti,Russell Forest-Rawhiti,191.3598268,191.3598268
104500,Moerewa,Moerewa,1.875669496,1.875669496
104600,Kawakawa,Kawakawa,1.731381088,1.731381088
104700,Maromaku,Maromaku,238.3374888,238.3374888
104800,Mangakahia-Hūkerenui,Mangakahia-Hukerenui,659.1827351,659.1827351
104900,Whangaruru,Whangaruru,469.3397875,469.3397875
105100,Matarau,Matarau,107.8283534,107.8283534
105200,Hikurangi,Hikurangi,4.001390616,4.001390616
105300,Kauri,Kauri,56.00890272,56.00890272
105400,Maungatapere,Maungatapere,174.4808608,174.4808608
